Loading training images...
Loaded 100000 images of shape (64, 64, 3)
Epoch 78/100 - Train Loss: 3.4988, Train Acc: 49.81%, Test Loss: 6.1914, Test Acc: 6.97%
Epoch 79/100 - Train Loss: 3.4667, Train Acc: 50.52%, Test Loss: 6.2145, Test Acc: 6.97%
Epoch 80/100 - Train Loss: 3.4348, Train Acc: 51.22%, Test Loss: 6.2376, Test Acc: 6.97%
Epoch 81/100 - Train Loss: 3.4033, Train Acc: 52.00%, Test Loss: 6.2618, Test Acc: 6.97%
Epoch 82/100 - Train Loss: 3.3716, Train Acc: 52.72%, Test Loss: 6.2858, Test Acc: 6.91%
Epoch 83/100 - Train Loss: 3.3400, Train Acc: 53.47%, Test Loss: 6.3108, Test Acc: 6.89%
Epoch 84/100 - Train Loss: 3.3087, Train Acc: 54.23%, Test Loss: 6.3362, Test Acc: 6.88%
Epoch 85/100 - Train Loss: 3.2776, Train Acc: 55.00%, Test Loss: 6.3621, Test Acc: 6.80%
Epoch 86/100 - Train Loss: 3.2465, Train Acc: 55.74%, Test Loss: 6.3893, Test Acc: 6.79%
Epoch 87/100 - Train Loss: 3.2157, Train Acc: 56.52%, Test Loss: 6.4165, Test Acc: 6.77%
Epoch 88/100 - Train Loss: 3.1860, Train Acc: 57.22%, Test Loss: 6.4443, Test Acc: 6.73%
Epoch 89/100 - Train Loss: 3.1548, Train Acc: 57.99%, Test Loss: 6.4714, Test Acc: 6.71%
Epoch 90/100 - Train Loss: 3.1255, Train Acc: 58.71%, Test Loss: 6.5005, Test Acc: 6.64%
Epoch 91/100 - Train Loss: 3.0942, Train Acc: 59.53%, Test Loss: 6.5277, Test Acc: 6.67%
Epoch 92/100 - Train Loss: 3.0655, Train Acc: 60.17%, Test Loss: 6.5588, Test Acc: 6.64%
Epoch 93/100 - Train Loss: 3.0352, Train Acc: 60.90%, Test Loss: 6.5877, Test Acc: 6.60%
Epoch 94/100 - Train Loss: 3.0059, Train Acc: 61.65%, Test Loss: 6.6179, Test Acc: 6.65%
Epoch 95/100 - Train Loss: 2.9769, Train Acc: 62.38%, Test Loss: 6.6486, Test Acc: 6.57%
Epoch 96/100 - Train Loss: 2.9490, Train Acc: 63.11%, Test Loss: 6.6807, Test Acc: 6.51%
Epoch 97/100 - Train Loss: 2.9210, Train Acc: 63.80%, Test Loss: 6.7119, Test Acc: 6.44%
Epoch 98/100 - Train Loss: 2.8924, Train Acc: 64.56%, Test Loss: 6.7432, Test Acc: 6.42%
Epoch 99/100 - Train Loss: 2.8654, Train Acc: 65.24%, Test Loss: 6.7768, Test Acc: 6.37%
Epoch 100/100 - Train Loss: 2.8376, Train Acc: 65.92%, Test Loss: 6.8087, Test Acc: 6.39%
Saved trained weights to v1_weights_full.json
Saved training curves to training_curves.png
